truth,proba
0,0.096382625
1,0.5025051
1,0.9318569
0,0.35288444
0,0.14678203
0,0.6961705
0,0.056965988
1,0.57523316
1,0.56602144
0,0.42330068
0,0.33199894
1,0.6563468
0,0.80680716
0,0.40818718
1,0.93396974
0,0.4965294
0,0.19516154
1,0.07936883
0,0.97299296
0,0.9198858
0,0.23112367
1,0.92689425
1,0.848962
1,0.24637617
1,0.5526223
0,0.014579694
0,0.009684863
1,0.10182908
1,0.009054135
0,0.1201399
0,0.16253495
0,0.55925936
0,0.021563591
0,0.097284235
1,0.87077063
0,0.71058536
1,0.618432
0,0.6567272
0,0.26869625
1,0.9625307
1,0.9175943
1,0.97828317
0,0.22270456
0,0.096267216
1,0.9837624
1,0.77982646
1,0.31073576
1,0.88918674
1,0.98640984
1,0.55900455
1,0.770382
1,0.9325726
1,0.74944687
0,0.66110843
1,0.86399645
1,0.97191477
1,0.9906596
1,0.82322705
1,0.97028816
1,0.93394095
1,0.839737
1,0.99464864
0,0.20041874
0,0.47698075
1,0.82627815
0,0.40874076
0,0.9377396
0,0.26594585
1,0.060391832
1,0.7763907
0,0.16572277
0,0.18688847
0,0.21349709
0,0.31499287
0,0.8794409
0,0.030736743
