truth,proba
0,0.35289586
0,0.2519552
1,0.25999394
1,0.7916038
0,0.62916625
0,0.35149288
0,0.30886635
0,0.2600449
0,0.39681095
0,0.4038648
1,0.54632103
1,0.29266042
1,0.50472987
0,0.45812082
0,0.34860775
1,0.27079993
1,0.52356863
1,0.6137897
0,0.6926696
0,0.45628524
1,0.43807963
1,0.6961489
0,0.1725745
0,0.6656592
0,0.53497976
0,0.27452883
1,0.5098827
1,0.4601613
0,0.5234281
0,0.63701963
0,0.74674314
0,0.65191466
0,0.68966746
1,0.8053816
1,0.820627
1,0.5206185
1,0.61557573
0,0.13901637
0,0.14121945
1,0.23736316
1,0.17082094
0,0.29995602
0,0.3039004
0,0.27706566
0,0.3554965
0,0.22738157
0,0.2911802
1,0.52837574
1,0.5791379
0,0.2884742
1,0.37844172
0,0.66379046
0,0.2330207
1,0.71814275
1,0.840016
1,0.86169714
0,0.39956793
0,0.42312726
1,0.7917698
1,0.7011496
1,0.7538635
1,0.722449
1,0.56341827
1,0.5958527
1,0.8085392
1,0.8132018
1,0.5784246
0,0.73364466
1,0.7570373
0,0.75386536
1,0.73642087
1,0.76035094
0,0.8289645
1,0.7631734
1,0.7013223
0,0.48584357
1,0.7431299
1,0.77768236
1,0.811096
1,0.7155411
1,0.7959675
1,0.7789786
1,0.19437157
1,0.7391551
1,0.88493365
0,0.36244705
0,0.63730806
1,0.7665109
1,0.71459234
1,0.38738254
0,0.33407882
0,0.44201285
0,0.37958643
0,0.7090775
1,0.21072173
0,0.4986488
1,0.2658343
1,0.7765415
