Pyradiomics_feature_name	alias
original_shape_Elongation	shape_EL
original_shape_Flatness	shape_FL
original_shape_LeastAxisLength	shape_LAL
original_shape_MajorAxisLength	shape_MaAL
original_shape_Maximum2DDiameterColumn	shape_M2DC
original_shape_Maximum2DDiameterRow	shape_M2DR
original_shape_Maximum2DDiameterSlice	shape_M2DS
original_shape_Maximum3DDiameter	shape_M3D
original_shape_MeshVolume	shape_MV
original_shape_MinorAxisLength	shape_MiAL
original_shape_Sphericity	shape_SP
original_shape_SurfaceArea	shape_SA
original_shape_SurfaceVolumeRatio	shape_SVR
original_shape_VoxelVolume	shape_VV
original_firstorder_10Percentile	firstorder_10P
original_firstorder_90Percentile	firstorder_90P
original_firstorder_Energy	firstorder_EG
original_firstorder_Entropy	firstorder_EP
original_firstorder_InterquartileRange	firstorder_IQR
original_firstorder_Kurtosis	firstorder_KT
original_firstorder_Maximum	firstorder_MAX
original_firstorder_MeanAbsoluteDeviation	firstorder_MAD
original_firstorder_Mean	firstorder_MN
original_firstorder_Median	firstorder_MED
original_firstorder_Minimum	firstorder_MIN
original_firstorder_Range	firstorder_RG
original_firstorder_RobustMeanAbsoluteDeviation	firstorder_RMAD
original_firstorder_RootMeanSquared	firstorder_RMS
original_firstorder_Skewness	firstorder_SK
original_firstorder_TotalEnergy	firstorder_TE
original_firstorder_Uniformity	firstorder_UF
original_firstorder_Variance	firstorder_VR
original_glcm_Autocorrelation	glcm_ACR
original_glcm_JointAverage	glcm_JA
original_glcm_ClusterProminence	glcm_CPM
original_glcm_ClusterShade	glcm_CS
original_glcm_ClusterTendency	glcm_CTD
original_glcm_Contrast	glcm_CT
original_glcm_Correlation	glcm_CR
original_glcm_DifferenceAverage	glcm_DA
original_glcm_DifferenceEntropy	glcm_DE
original_glcm_DifferenceVariance	glcm_DV
original_glcm_JointEnergy	glcm_JEG
original_glcm_JointEntropy	glcm_JEP
original_glcm_Imc1	glcm_lmc1
original_glcm_Imc2	glcm_lmc2
original_glcm_Idm	glcm_ldm
original_glcm_Idmn	glcm_ldmn
original_glcm_Id	glcm_ld
original_glcm_Idn	glcm_ldn
original_glcm_InverseVariance	glcm_IV
original_glcm_MaximumProbability	glcm_MP
original_glcm_SumEntropy	glcm_SE
original_glcm_SumSquares	glcm_SS
original_glrlm_GrayLevelNonUniformity	glrlm_GLNU
original_glrlm_GrayLevelNonUniformityNormalized	glrlm_GLNUN
original_glrlm_GrayLevelVariance	glrlm_GLV
original_glrlm_HighGrayLevelRunEmphasis	glrlm_HGLRE
original_glrlm_LongRunEmphasis	glrlm_LRE
original_glrlm_LongRunHighGrayLevelEmphasis	glrlm_LRHGLE
original_glrlm_LongRunLowGrayLevelEmphasis	glrlm_LRLGLE
original_glrlm_LowGrayLevelRunEmphasis	glrlm_LGLRE
original_glrlm_RunEntropy	glrlm_RE
original_glrlm_RunLengthNonUniformity	glrlm_RLNU
original_glrlm_RunLengthNonUniformityNormalized	glrlm_RLNUN
original_glrlm_RunPercentage	glrlm_RP
original_glrlm_RunVariance	glrlm_RV
original_glrlm_ShortRunEmphasis	glrlm_SRE
original_glrlm_ShortRunHighGrayLevelEmphasis	glrlm_SRHGLE
original_glrlm_ShortRunLowGrayLevelEmphasis	glrlm_SRLGLE
original_glszm_GrayLevelNonUniformity	glszm_GLNU
original_glszm_GrayLevelNonUniformityNormalized	glszm_GLNUN
original_glszm_GrayLevelVariance	glszm_GLV
original_glszm_HighGrayLevelZoneEmphasis	glszm_HGLZE
original_glszm_LargeAreaEmphasis	glszm_LAE
original_glszm_LargeAreaHighGrayLevelEmphasis	glszm_LAHGLE
original_glszm_LargeAreaLowGrayLevelEmphasis	glszm_LALGLE
original_glszm_LowGrayLevelZoneEmphasis	glszm_LGLZE
original_glszm_SizeZoneNonUniformity	glszm_SZNU
original_glszm_SizeZoneNonUniformityNormalized	glszm_SZNUN
original_glszm_SmallAreaEmphasis	glszm_SAE
original_glszm_SmallAreaHighGrayLevelEmphasis	glszm_SAHGLE
original_glszm_SmallAreaLowGrayLevelEmphasis	glszm_SALGLE
original_glszm_ZoneEntropy	glszm_ZE
original_glszm_ZonePercentage	glszm_ZP
original_glszm_ZoneVariance	glszm_ZV
original_gldm_DependenceEntropy	gldm_DE
original_gldm_DependenceNonUniformity	gldm_DNU
original_gldm_DependenceNonUniformityNormalized	gldm_DNUN
original_gldm_DependenceVariance	gldm_DV
original_gldm_GrayLevelNonUniformity	gldm_GLNU
original_gldm_GrayLevelVariance	gldm_GLV
original_gldm_HighGrayLevelEmphasis	gldm_HGLE
original_gldm_LargeDependenceEmphasis	gldm_LDE
original_gldm_LargeDependenceHighGrayLevelEmphasis	gldm_LDHGLE
original_gldm_LargeDependenceLowGrayLevelEmphasis	gldm_LDLGLE
original_gldm_LowGrayLevelEmphasis	gldm_LGLE
original_gldm_SmallDependenceEmphasis	gldm_SDE
original_gldm_SmallDependenceHighGrayLevelEmphasis	gldm_SDHGLE
original_gldm_SmallDependenceLowGrayLevelEmphasis	gldm_SDLGLE
