truth,proba
0.0,0.29511595
0.0,0.7699712
0.0,0.84474444
0.0,0.15493381
0.0,0.13585469
0.0,0.13585469
0.0,0.54339606
0.0,0.3620956
0.0,0.3620956
0.0,0.13585469
0.0,0.1946018
0.0,0.43365318
0.0,0.58393645
0.0,0.36396536
0.0,0.48372132
0.0,0.43142518
0.0,0.8153004
0.0,0.63485044
0.0,0.6745057
0.0,0.13585469
0.0,0.13585469
0.0,0.19959642
0.0,0.48100775
0.0,0.15493381
0.0,0.13585469
0.0,0.23844595
0.0,0.13585469
0.0,0.13585469
0.0,0.18604206
0.0,0.18604206
0.0,0.13585469
0.0,0.23062901
0.0,0.1968623
0.0,0.18604206
0.0,0.1893991
0.0,0.13585469
0.0,0.18604206
0.0,0.17155538
0.0,0.6783488
1.0,0.8495685
1.0,0.80676055
1.0,0.18789406
1.0,0.15493381
1.0,0.87745845
1.0,0.87745845
1.0,0.8295967
1.0,0.62838596
1.0,0.73823893
1.0,0.4507925
1.0,0.6284209
1.0,0.15493381
1.0,0.6036499
1.0,0.8295967
1.0,0.83695734
1.0,0.6036499
1.0,0.7118631
1.0,0.8295967
1.0,0.8295967
1.0,0.50735337
1.0,0.87745845
1.0,0.87745845
1.0,0.87745845
1.0,0.8495685
1.0,0.87745845
1.0,0.87745845
1.0,0.87745845
1.0,0.13585469
1.0,0.43577927
1.0,0.87745845
1.0,0.18789406
1.0,0.80676055
1.0,0.83695734
1.0,0.87745845
1.0,0.87745845
