truth,proba
0.0,0.18980652
0.0,0.27483672
0.0,0.06879207
0.0,0.12981103
0.0,0.2604553
0.0,0.46098316
0.0,0.2993825
0.0,0.4944477
0.0,0.44606888
0.0,0.6656761
0.0,0.063919656
1.0,0.25537986
1.0,0.42929214
1.0,0.53641844
1.0,0.5457569
1.0,0.6878749
0.0,0.05163534
0.0,0.05664784
0.0,0.06275528
0.0,0.067424916
0.0,0.056944117
0.0,0.05728294
1.0,0.43091005
0.0,0.04825422
0.0,0.07709907
0.0,0.4280895
0.0,0.1808909
0.0,0.31512162
0.0,0.065373376
0.0,0.073116995
0.0,0.04825422
0.0,0.05434865
0.0,0.11686941
1.0,0.096566305
1.0,0.113523826
1.0,0.083500184
1.0,0.05287669
0.0,0.43564484
0.0,0.3997124
1.0,0.5137932
1.0,0.5855782
1.0,0.6356483
1.0,0.67623967
0.0,0.45498472
0.0,0.5915511
1.0,0.5767576
1.0,0.58819306
0.0,0.14953607
0.0,0.14504005
1.0,0.2525731
0.0,0.47193784
0.0,0.12933892
1.0,0.35635716
0.0,0.062706046
0.0,0.2503383
0.0,0.36167222
0.0,0.44428828
0.0,0.36410484
0.0,0.38649154
0.0,0.36944014
0.0,0.25071916
0.0,0.04825422
0.0,0.052296553
0.0,0.058120474
1.0,0.5817502
0.0,0.0805596
0.0,0.12959418
0.0,0.058331985
0.0,0.063897744
0.0,0.050535556
0.0,0.058257066
0.0,0.09486463
0.0,0.060012404
0.0,0.15836531
0.0,0.054988325
0.0,0.04825422
1.0,0.5332378
1.0,0.06414691
0.0,0.0647982
0.0,0.063705266
0.0,0.050535556
0.0,0.05795396
0.0,0.0932414
0.0,0.10513559
0.0,0.05235367
0.0,0.21070509
0.0,0.10097486
1.0,0.06418496
0.0,0.07081325
0.0,0.06595172
0.0,0.06951495
0.0,0.05325944
0.0,0.04825422
0.0,0.4828361
0.0,0.050535556
0.0,0.05533865
0.0,0.19124186
0.0,0.08773921
0.0,0.07720075
0.0,0.053912554
1.0,0.3076217
1.0,0.35350502
1.0,0.5467461
0.0,0.26934427
0.0,0.5563511
1.0,0.13081998
0.0,0.39658067
1.0,0.387159
0.0,0.1989127
0.0,0.058257066
