truth,proba
0.0,0.23645276
0.0,0.7897328
0.0,0.14052366
0.0,0.079419106
0.0,0.11382133
0.0,0.7226076
0.0,0.41542372
0.0,0.48329937
0.0,0.13021673
0.0,0.30622578
0.0,0.11300047
0.0,0.34151226
0.0,0.47816798
0.0,0.1972987
0.0,0.13021673
0.0,0.17916925
0.0,0.36505643
0.0,0.64268464
0.0,0.11300047
0.0,0.043903083
0.0,0.043903083
0.0,0.043903083
0.0,0.043903083
0.0,0.29608318
0.0,0.40762493
0.0,0.07606543
0.0,0.34151226
0.0,0.11300047
0.0,0.1972987
0.0,0.6744451
0.0,0.17916925
0.0,0.25718442
0.0,0.0879619
0.0,0.21238703
0.0,0.49079376
0.0,0.085221566
0.0,0.10476548
0.0,0.22038788
0.0,0.55948716
0.0,0.49079376
0.0,0.41542372
0.0,0.50999695
0.0,0.22038788
0.0,0.11382133
0.0,0.23651929
0.0,0.22038788
0.0,0.4955153
0.0,0.15445948
0.0,0.11366862
0.0,0.14500138
0.0,0.64268464
0.0,0.41542372
0.0,0.12761082
0.0,0.085221566
0.0,0.12761082
0.0,0.50999695
0.0,0.07931874
0.0,0.3818637
0.0,0.1929404
0.0,0.7226076
0.0,0.0879619
0.0,0.098212615
0.0,0.22903013
0.0,0.3838062
1.0,0.7194661
1.0,0.20173642
1.0,0.18931657
1.0,0.60307133
1.0,0.34152138
1.0,0.6993157
1.0,0.5807791
1.0,0.95637554
1.0,0.9175556
1.0,0.92591137
1.0,0.9544014
1.0,0.9475886
1.0,0.88373
1.0,0.9411573
1.0,0.92604333
1.0,0.94140416
1.0,0.90720344
1.0,0.94140416
1.0,0.9393395
1.0,0.85486907
1.0,0.7360705
1.0,0.75669765
1.0,0.846738
1.0,0.9544014
1.0,0.848892
1.0,0.95313805
1.0,0.95313805
1.0,0.9503308
1.0,0.8032016
1.0,0.9366624
1.0,0.94929475
1.0,0.86576784
1.0,0.9459503
1.0,0.6674327
1.0,0.39355224
1.0,0.9057391
1.0,0.7204079
1.0,0.18440773
1.0,0.43163407
1.0,0.86410815
1.0,0.20876577
1.0,0.83915067
1.0,0.89677805
1.0,0.8405184
1.0,0.7424727
1.0,0.9242429
1.0,0.20965317
1.0,0.33522573
