truth,proba
1.0,0.98079395
1.0,0.9952172
1.0,0.7928126
1.0,0.9611788
1.0,0.694872
1.0,0.9550049
1.0,0.9687746
1.0,0.91609013
1.0,0.8511773
1.0,0.76979834
1.0,0.99536645
1.0,0.90800244
1.0,0.9884015
1.0,0.93345964
1.0,0.75224936
1.0,0.6031851
1.0,0.99493766
1.0,0.9499619
1.0,0.9939819
1.0,0.99320555
1.0,0.9850818
1.0,0.89095116
1.0,0.9910096
1.0,0.9750362
1.0,0.99486816
1.0,0.9870609
1.0,0.9575832
1.0,0.9914351
1.0,0.995861
1.0,0.96865505
1.0,0.9980477
1.0,0.9954287
1.0,0.9771045
1.0,0.9838921
1.0,0.9741552
1.0,0.98939615
1.0,0.9872569
1.0,0.99069947
1.0,0.9951261
1.0,0.9835265
1.0,0.9688719
1.0,0.99529845
1.0,0.9913458
1.0,0.94439656
1.0,0.986182
1.0,0.9852004
1.0,0.99414635
1.0,0.9614878
1.0,0.9931646
1.0,0.8988124
1.0,0.65937537
1.0,0.6062797
1.0,0.5348957
1.0,0.97225857
0.0,0.50692844
0.0,0.32073456
0.0,0.9893935
0.0,0.17843868
0.0,0.18713084
0.0,0.35532182
0.0,0.46363974
0.0,0.9454229
1.0,0.87863797
1.0,0.6246261
1.0,0.9844008
0.0,0.43919164
1.0,0.98778987
0.0,0.9195062
1.0,0.93066806
1.0,0.5043037
1.0,0.98892885
1.0,0.88099337
1.0,0.3326569
1.0,0.9256878
0.0,0.7773528
1.0,0.9764434
0.0,0.31801426
1.0,0.95541275
1.0,0.3155845
1.0,0.87401253
1.0,0.33383885
1.0,0.98997164
1.0,0.7451392
1.0,0.7911339
0.0,0.3940609
1.0,0.5606315
1.0,0.90632725
1.0,0.16628055
0.0,0.05239867
1.0,0.13823944
0.0,0.40097538
1.0,0.7679951
1.0,0.9494432
1.0,0.9954542
1.0,0.95427287
1.0,0.9347531
0.0,0.22037119
0.0,0.16764748
1.0,0.5521962
1.0,0.84097165
1.0,0.8645512
1.0,0.7000213
1.0,0.85640424
0.0,0.44302815
1.0,0.8415892
1.0,0.76495814
1.0,0.9761723
1.0,0.8454164
1.0,0.967396
0.0,0.3195577
